Date,Price,Open,High,Low,Vol.,Change %
"May 05, 2020",161.02,160.16,161.1,159.33,10.56M,0.42%
"May 04, 2020",160.34,160.33,160.95,159.91,7.99M,0.35%
"May 03, 2020",159.78,159.78,159.78,159.78,-,0.00%
"May 02, 2020",159.78,159.78,159.78,159.78,-,0.00%
"May 01, 2020",159.78,158.0,160.45,157.8,10.91M,0.62%
"Apr 30, 2020",158.8,160.22,160.82,158.13,13.63M,-1.81%
"Apr 29, 2020",161.73,160.1,161.85,159.76,12.23M,0.55%
"Apr 28, 2020",160.84,160.89,160.98,159.16,10.38M,-0.45%
"Apr 27, 2020",161.56,161.88,162.0,160.41,9.03M,-0.66%
"Apr 24, 2020",162.64,163.13,163.31,160.89,11.20M,-0.43%
"Apr 23, 2020",163.34,162.39,163.6,161.84,14.93M,1.00%
"Apr 22, 2020",161.73,160.5,161.74,160.42,12.94M,1.97%
"Apr 21, 2020",158.61,157.6,159.21,157.04,12.48M,-0.68%
"Apr 20, 2020",159.7,158.62,160.22,158.46,10.69M,0.71%
"Apr 17, 2020",158.57,159.72,160.07,158.12,14.65M,-1.94%
"Apr 16, 2020",161.71,161.88,163.15,160.65,9.23M,-0.09%
"Apr 15, 2020",161.85,161.8,162.54,160.81,12.14M,-0.51%
"Apr 14, 2020",162.68,162.73,164.42,161.78,17.10M,0.79%
"Apr 13, 2020",161.41,159.17,162.38,158.63,20.55M,1.71%
"Apr 09, 2020",158.69,158.08,159.08,157.21,18.12M,2.61%
"Apr 08, 2020",154.65,155.91,155.94,154.59,7.60M,-0.89%
"Apr 07, 2020",156.04,155.33,156.14,154.38,9.20M,-0.54%
"Apr 06, 2020",156.88,154.16,157.22,153.96,14.74M,2.77%
"Apr 03, 2020",152.65,152.23,153.09,151.66,8.47M,0.49%
"Apr 02, 2020",151.9,151.2,152.5,150.7,9.19M,1.64%
"Apr 01, 2020",149.45,148.2,150.08,147.85,11.83M,0.95%
"Mar 31, 2020",148.05,151.36,151.8,147.97,13.32M,-3.18%
"Mar 30, 2020",152.92,152.41,153.08,151.57,12.08M,0.44%
"Mar 27, 2020",152.25,153.0,153.55,152.0,9.82M,-0.65%
"Mar 26, 2020",153.24,153.31,154.81,152.08,12.32M,1.28%
"Mar 25, 2020",151.3,152.58,152.88,151.01,16.12M,-1.37%
"Mar 24, 2020",153.4,153.5,155.66,152.05,20.56M,4.85%
"Mar 23, 2020",146.3,142.68,146.93,142.28,28.12M,4.42%
"Mar 20, 2020",140.11,140.71,141.17,139.14,20.06M,1.50%
"Mar 19, 2020",138.04,139.08,140.5,137.85,20.64M,-1.89%
"Mar 18, 2020",140.7,141.75,142.88,138.5,21.87M,-1.99%
"Mar 17, 2020",143.56,140.18,146.2,139.93,24.49M,1.36%
"Mar 16, 2020",141.64,137.56,142.96,136.12,24.50M,-1.14%
"Mar 13, 2020",143.28,149.42,149.6,141.58,35.18M,-3.05%
"Mar 12, 2020",147.79,151.53,151.55,146.85,32.89M,-3.99%
"Mar 11, 2020",153.93,156.25,156.5,153.61,18.35M,-0.36%
"Mar 10, 2020",154.48,156.18,156.41,154.39,18.81M,-2.11%
"Mar 09, 2020",157.81,158.6,159.37,156.33,24.87M,0.17%
"Mar 06, 2020",157.55,158.33,159.25,154.54,26.97M,0.04%
"Mar 05, 2020",157.49,156.06,157.62,155.72,17.97M,2.16%
"Mar 04, 2020",154.16,154.4,154.96,153.7,12.32M,0.18%
"Mar 03, 2020",153.89,150.84,155.24,150.74,28.69M,3.14%
"Mar 02, 2020",149.2,150.0,150.73,149.04,16.30M,0.55%
"Feb 28, 2020",148.38,152.71,152.77,147.05,42.71M,-3.65%
"Feb 27, 2020",154.0,155.58,156.27,153.9,27.88M,0.02%
"Feb 26, 2020",153.97,153.82,155.28,152.9,17.98M,0.44%
"Feb 25, 2020",153.3,155.12,156.08,152.91,28.09M,-1.79%
"Feb 24, 2020",156.09,158.5,158.53,155.36,27.17M,0.90%
"Feb 21, 2020",154.7,154.43,155.22,154.18,16.35M,1.50%
"Feb 20, 2020",152.41,152.0,152.83,151.95,8.46M,0.41%
"Feb 19, 2020",151.79,151.0,151.82,150.81,9.27M,0.58%
"Feb 18, 2020",150.91,149.88,151.09,149.47,11.53M,1.28%
"Feb 14, 2020",149.0,148.74,149.13,148.63,5.35M,0.42%
"Feb 13, 2020",148.38,148.24,148.58,147.95,7.08M,0.57%
"Feb 12, 2020",147.54,147.42,147.81,147.16,5.04M,-0.08%
"Feb 11, 2020",147.66,148.03,148.16,147.01,5.18M,-0.34%
"Feb 10, 2020",148.17,148.21,148.45,147.91,5.79M,0.26%
"Feb 07, 2020",147.79,147.83,148.18,147.34,6.38M,0.26%
"Feb 06, 2020",147.4,147.28,147.63,147.0,4.82M,0.54%
"Feb 05, 2020",146.61,146.38,146.81,146.16,6.16M,0.12%
"Feb 04, 2020",146.43,146.97,147.03,145.8,10.53M,-1.30%
"Feb 03, 2020",148.36,148.66,148.78,147.68,9.12M,-0.65%
"Jan 31, 2020",149.33,148.88,149.68,148.81,14.79M,0.58%
"Jan 30, 2020",148.47,148.69,149.31,148.01,9.12M,0.01%
"Jan 29, 2020",148.46,147.7,148.56,147.61,5.02M,0.54%
"Jan 28, 2020",147.66,148.36,148.56,147.53,7.54M,-0.89%
"Jan 27, 2020",148.99,149.24,149.32,148.46,9.99M,0.68%
"Jan 24, 2020",147.98,146.9,148.38,146.89,9.92M,0.58%
"Jan 23, 2020",147.12,147.0,147.62,146.62,8.42M,0.22%
"Jan 22, 2020",146.79,146.68,146.81,146.38,4.78M,0.03%
"Jan 21, 2020",146.74,145.77,146.86,145.55,6.09M,0.11%
"Jan 17, 2020",146.58,146.51,146.99,146.31,11.12M,0.18%
"Jan 16, 2020",146.31,146.27,146.47,145.75,6.07M,-0.16%
"Jan 15, 2020",146.54,146.21,146.73,145.82,6.51M,0.58%
"Jan 14, 2020",145.69,145.42,145.81,145.08,6.61M,-0.09%
"Jan 13, 2020",145.82,146.35,146.38,145.78,7.60M,-0.74%
"Jan 10, 2020",146.91,146.22,146.99,146.17,6.18M,0.60%
"Jan 09, 2020",146.03,146.07,146.41,145.44,10.30M,-0.57%
"Jan 08, 2020",146.86,148.49,148.61,146.14,22.28M,-0.75%
"Jan 07, 2020",147.97,147.57,148.14,147.43,8.40M,0.39%
"Jan 06, 2020",147.39,148.44,148.48,146.95,14.41M,1.05%
"Jan 03, 2020",145.86,145.75,146.32,145.4,12.29M,1.33%
"Jan 02, 2020",143.95,143.86,144.21,143.4,7.74M,0.73%
